Timestamp,Currency_Name,Rate_to_RUB
2023-03-24 12:00:00,Грузинский лари,29.6293
2023-03-24 12:00:00,Польский злотый,17.7409
2023-03-24 12:00:00,Японская иена,0.5832
2023-03-24 12:00:00,Евро,83.1452
2023-03-24 12:00:00,Китайский юань,11.1662
2023-03-24 12:00:00,Швейцарский франк,83.3594
2023-03-24 12:00:00,Турецкая лира,4.0091
2023-03-24 12:00:00,Индийская рупия,0.9229
2023-03-25 12:00:00,Канадский доллар,55.9198
2023-03-25 12:00:00,Дирхам ОАЭ,20.8157
2023-03-25 12:00:00,Армянский драм,0.197
2023-03-25 12:00:00,Фунт стерлингов Соединенного королевства,94.1532
2023-03-25 12:00:00,Сингапурский доллар,57.5662
2023-03-25 12:00:00,Белорусский рубль,26.8937
2023-03-25 12:00:00,Евро,82.3923
2023-03-25 12:00:00,Казахстанский тенге,0.1653
2023-03-25 12:00:00,Японская иена,0.5854
2023-03-25 12:00:00,Грузинский лари,29.6678
2023-03-25 12:00:00,Китайский юань,11.1146
2023-03-25 12:00:00,Австралийский доллар,51.1207
2023-03-25 12:00:00,Южнокорейская вона,0.0591
2023-03-25 12:00:00,Швейцарский франк,83.2222
2023-03-25 12:00:00,Индийская рупия,0.927
2023-03-25 12:00:00,Польский злотый,17.495
2023-03-25 12:00:00,Турецкая лира,4.0152
2023-03-25 12:00:00,Доллар США,76.4479
2023-03-25 12:00:00,Шведская крона,7.3717
2023-03-28 12:00:00,Канадский доллар,55.6319
2023-03-28 12:00:00,Китайский юань,11.1098
2023-03-28 12:00:00,Казахстанский тенге,0.1674
2023-03-28 12:00:00,Грузинский лари,29.7183
2023-03-28 12:00:00,Индийская рупия,0.928
2023-03-28 12:00:00,Польский злотый,17.612
2023-03-28 12:00:00,Доллар США,76.5662
2023-03-28 12:00:00,Турецкая лира,4.0183
2023-03-28 12:00:00,Фунт стерлингов Соединенного королевства,93.5945
2023-03-28 12:00:00,Евро,82.2913
2023-03-28 12:00:00,Сингапурский доллар,57.4476
2023-03-28 12:00:00,Южнокорейская вона,0.0588
2023-03-28 12:00:00,Армянский драм,0.1971
2023-03-28 12:00:00,Швейцарский франк,83.5693
2023-03-28 12:00:00,Шведская крона,7.3634
2023-03-28 12:00:00,Австралийский доллар,50.9165
2023-03-28 12:00:00,Белорусский рубль,26.8616
2023-03-28 12:00:00,Японская иена,0.586
2023-03-28 12:00:00,Дирхам ОАЭ,20.8485
2023-03-29 12:00:00,Доллар США,76.5939
2023-03-29 12:00:00,Китайский юань,11.1127
2023-03-29 12:00:00,Южнокорейская вона,0.059
2023-03-29 12:00:00,Казахстанский тенге,0.1669
